metric_name,metric_value,origin_index
frontier_per_origin_candidate_counts,1,11099
frontier_per_origin_candidate_counts,2,11101
frontier_per_origin_candidate_counts,2,11102
frontier_per_origin_candidate_counts,1,11103
frontier_per_origin_candidate_counts,1,11107
frontier_per_origin_candidate_counts,2,11108
frontier_per_origin_candidate_counts,2,11111
frontier_per_origin_candidate_counts,2,11117
frontier_per_origin_candidate_counts,2,11125
frontier_per_origin_candidate_counts,1,11126
frontier_per_origin_candidate_counts,2,11128
frontier_per_origin_candidate_counts,1,1113
frontier_per_origin_candidate_counts,2,11133
frontier_per_origin_candidate_counts,1,11134
frontier_per_origin_candidate_counts,1,11138
frontier_per_origin_candidate_counts,1,11149
frontier_per_origin_candidate_counts,1,11154
frontier_per_origin_candidate_counts,2,11162
frontier_per_origin_candidate_counts,2,11164
frontier_per_origin_candidate_counts,1,1117
frontier_per_origin_candidate_counts,2,11173
frontier_per_origin_candidate_counts,2,11176
frontier_per_origin_candidate_counts,2,1118
frontier_per_origin_candidate_counts,1,1119
frontier_per_origin_candidate_counts,2,11198
frontier_per_origin_candidate_counts,3,11199
frontier_per_origin_candidate_counts,1,11203
frontier_per_origin_candidate_counts,1,11204
frontier_per_origin_candidate_counts,1,11214
frontier_per_origin_candidate_counts,1,11215
frontier_per_origin_candidate_counts,2,11219
frontier_per_origin_candidate_counts,2,1122
frontier_per_origin_candidate_counts,1,11226
frontier_per_origin_candidate_counts,2,11229
frontier_per_origin_candidate_counts,2,1123
frontier_per_origin_candidate_counts,2,11234
frontier_per_origin_candidate_counts,2,11237
frontier_per_origin_candidate_counts,2,11241
frontier_per_origin_candidate_counts,3,11245
frontier_per_origin_candidate_counts,2,11246
frontier_per_origin_candidate_counts,2,11256
frontier_per_origin_candidate_counts,2,11259
frontier_per_origin_candidate_counts,2,11265
frontier_per_origin_candidate_counts,2,1127
frontier_per_origin_candidate_counts,2,11270
frontier_per_origin_candidate_counts,3,11271
frontier_per_origin_candidate_counts,2,11274
frontier_per_origin_candidate_counts,1,11285
frontier_per_origin_candidate_counts,1,11290
frontier_per_origin_candidate_counts,2,11292
frontier_per_origin_candidate_counts,1,11296
frontier_per_origin_candidate_counts,2,11297
frontier_per_origin_candidate_counts,1,11298
frontier_per_origin_candidate_counts,2,113
frontier_per_origin_candidate_counts,1,11301
