edge_id,end_vertex,length,n_points,start_vertex
1328,-1,3.779770531285422,2,11257
1329,-1,3.779762139816698,2,11258
1330,-1,3.7797581732518855,2,11262
1331,-1,3.779764591837024,2,11265
1332,-1,3.779765272015822,2,11265
1333,-1,2.3811014937842327,2,11268
1334,-1,1.5000022489095013,2,11271
1335,-1,6.0000112559083005,2,11273
1336,-1,3.7797581586759392,2,11275
1337,-1,3.7797588836386136,2,11276
1338,-1,3.7797571689590623,2,11277
1339,-1,2.381098281374388,2,11278
1340,-1,6.000003052214937,2,11281
1341,-1,6.000005834539068,2,11281
1342,-1,6.000002841197717,2,11285
1343,-1,2.381101517777674,2,11288
1344,-1,2.3810971876115277,2,11289
1345,-1,2.3811063423734478,2,11289
1346,-1,2.3811098609780315,2,11294
1347,-1,2.381097504428178,2,11294
1348,-1,2.381103103532152,2,11296
1349,-1,2.3810982246603176,2,11296
1350,-1,3.7797625914549253,2,11300
1351,-1,3.779763055759449,2,11300
1352,-1,3.779776687314444,2,11302
1353,-1,3.7797657251320564,2,11302
1354,-1,3.7797725251261127,2,11302
1355,-1,2.3810966816337373,2,11303
1356,-1,2.3811065236133926,2,11303
1357,-1,5.999999094972668,2,11304
1358,-1,3.779763453944807,2,11307
1359,-1,3.779761583629017,2,11309
1360,-1,6.000000914345271,2,11310
1361,-1,5.999991422590567,2,11311
1362,-1,5.999995667136573,2,11311
1363,-1,2.381097906413688,2,11313
1364,-1,2.381101329203642,2,11313
1365,10275,3.4199573201275717,3,11314
1366,-1,1.4999967938410002,2,11314
1367,-1,2.3811011954857233,2,11321
1368,-1,5.999996250901597,2,11323
1369,-1,3.779766227042518,2,11326
1370,-1,3.7797548713020275,2,11326
1371,-1,2.3811007582500774,2,11330
1372,-1,2.3811077442936393,2,11330
1373,11238,3.427977552202837,3,11331
1374,-1,3.7797567871969746,2,11333
1375,-1,3.7797682559662147,2,11338
1376,-1,3.779761002693734,2,11340
1377,-1,1.4999884497705707,2,11341
1378,-1,2.381098823140364,2,11344
1379,-1,5.999997573768384,2,11347
1380,-1,6.000001932765667,2,11347
1381,-1,5.9999962355202126,2,11352
1382,-1,2.381101600746332,2,11356
1383,-1,2.381095667086585,2,11356
1384,-1,1.499991789204879,2,11360
1385,-1,1.499984559368344,2,11360
1386,-1,3.7797637965906925,2,11361
1387,-1,3.779758090647157,2,11362
1388,-1,3.779759037760153,2,11367
1389,-1,3.7797650496425823,2,11367
1390,-1,3.779761766517315,2,11370
1391,-1,3.7797593668545866,2,11371
1392,-1,3.779755057257146,2,11380
1393,-1,6.000001592605047,2,11384
1394,-1,2.3811015514149383,2,11387
1395,-1,2.381092893030555,2,11387
1396,-1,2.3810935712540378,2,11387
1397,-1,1.4999959413683392,2,11390
1398,-1,1.4999952125286653,2,11390
1399,-1,3.779758373288067,2,11394
1400,-1,2.38109663059104,2,11395
1401,-1,2.381091690004776,2,11395
1402,-1,2.3810981791301633,2,11399
1403,-1,3.7797557335395733,2,11400
1404,-1,3.779772624208288,2,11400
1405,-1,3.7797576362826204,2,11410
1406,-1,3.779771265947587,2,11411
